iter	Passed	Remaining
0	218	218766
1	306	152708
2	386	128382
3	430	107273
4	528	105193
5	604	100220
6	659	93563
7	693	86030
8	712	78471
9	730	72305
10	748	67270
11	766	63104
12	797	60573
13	827	58267
14	850	55831
15	870	53523
16	891	51562
17	912	49782
18	931	48094
19	950	46581
20	969	45204
21	991	44055
22	1016	43161
23	1038	42221
24	1060	41347
25	1084	40629
26	1106	39866
27	1124	39040
28	1145	38351
29	1166	37705
30	1189	37171
31	1206	36492
32	1219	35746
33	1241	35261
34	1261	34773
35	1281	34306
36	1300	33854
37	1316	33316
38	1333	32866
39	1349	32395
40	1368	32011
41	1383	31553
42	1395	31068
43	1412	30699
44	1433	30422
45	1460	30298
46	1479	30005
47	1498	29729
48	1521	29520
49	1543	29318
50	1561	29065
51	1581	28828
52	1600	28592
53	1619	28371
54	1638	28157
55	1658	27959
56	1672	27666
57	1707	27735
58	1745	27834
59	1790	28045
60	1833	28223
61	1863	28188
62	1892	28141
63	1921	28102
64	1938	27887
65	1968	27858
66	2029	28267
67	2079	28495
68	2132	28773
69	2211	29376
70	2299	30086
71	2331	30049
72	2358	29953
73	2401	30055
74	2419	29838
75	2441	29687
76	2468	29587
77	2496	29514
78	2514	29318
79	2535	29158
80	2562	29077
81	2581	28894
82	2606	28801
83	2627	28652
84	2647	28498
85	2662	28299
86	2677	28101
87	2701	27997
88	2728	27930
89	2748	27787
90	2767	27648
91	2778	27421
92	2795	27262
93	2815	27140
94	2832	26980
95	2850	26846
96	2877	26787
97	2898	26680
98	2915	26534
99	2931	26387
100	2947	26236
101	2965	26109
102	2981	25967
103	2995	25810
104	3011	25670
105	3026	25528
106	3044	25405
107	3079	25430
108	3126	25555
109	3154	25522
110	3177	25444
111	3195	25334
112	3214	25229
113	3230	25110
114	3247	24995
115	3263	24872
116	3280	24756
117	3294	24626
118	3310	24508
119	3327	24404
120	3344	24299
121	3361	24190
122	3376	24073
123	3392	23967
124	3411	23880
125	3429	23789
126	3444	23678
127	3460	23577
128	3475	23467
129	3497	23405
130	3517	23331
131	3533	23233
132	3551	23151
133	3570	23077
134	3587	22986
135	3613	22957
136	3631	22874
137	3646	22775
138	3679	22788
139	3697	22713
140	3721	22669
141	3743	22621
142	3766	22574
143	3796	22568
144	3819	22523
145	3855	22549
146	3879	22511
147	3912	22522
148	3938	22494
149	3955	22417
150	3971	22328
151	3998	22308
152	4015	22231
153	4033	22159
154	4056	22116
155	4082	22089
156	4105	22044
157	4128	21998
158	4148	21943
159	4177	21930
160	4229	22042
161	4250	21987
162	4274	21947
163	4304	21940
164	4334	21937
165	4371	21964
166	4395	21923
167	4430	21943
168	4457	21916
169	4477	21860
170	4494	21789
171	4511	21716
172	4538	21695
173	4558	21641
174	4574	21567
175	4590	21493
176	4610	21438
177	4628	21373
178	4645	21304
179	4665	21255
180	4682	21188
181	4701	21131
182	4736	21148
183	4760	21111
184	4778	21052
185	4795	20986
186	4815	20935
187	4830	20863
188	4852	20821
189	4869	20760
190	4885	20694
191	4905	20643
192	4922	20581
193	4940	20526
194	4961	20480
195	4986	20456
196	5023	20476
197	5044	20433
198	5061	20375
199	5078	20312
200	5094	20251
201	5111	20194
202	5134	20159
203	5159	20133
204	5174	20067
205	5200	20045
206	5225	20019
207	5248	19985
208	5267	19936
209	5298	19931
210	5317	19882
211	5333	19823
212	5362	19813
213	5389	19796
214	5417	19780
215	5434	19725
216	5451	19670
217	5467	19610
218	5481	19546
219	5497	19490
220	5512	19431
221	5528	19373
222	5545	19321
223	5572	19305
224	5592	19264
225	5610	19213
226	5634	19186
227	5685	19250
228	5708	19220
229	5737	19209
230	5767	19200
231	5803	19210
232	5832	19199
233	5850	19150
234	5875	19127
235	5901	19103
236	5928	19085
237	5955	19066
238	5968	19005
239	5984	18952
240	6017	18950
241	6047	18942
242	6069	18908
243	6090	18869
244	6104	18811
245	6129	18785
246	6171	18813
247	6200	18801
248	6235	18806
249	6258	18775
250	6290	18771
251	6348	18844
252	6370	18809
253	6393	18779
254	6419	18753
255	6439	18715
256	6461	18679
257	6481	18640
258	6497	18589
259	6517	18550
260	6536	18506
261	6570	18508
262	6603	18505
263	6624	18468
264	6640	18418
265	6657	18371
266	6673	18321
267	6690	18274
268	6708	18229
269	6750	18250
270	6815	18334
271	6850	18336
272	6881	18326
273	6904	18295
274	6944	18309
275	6982	18316
276	7016	18313
277	7052	18317
278	7075	18285
279	7098	18254
280	7121	18220
281	7140	18181
282	7174	18176
283	7197	18145
284	7222	18119
285	7242	18080
286	7262	18042
287	7280	17999
288	7298	17955
289	7314	17908
290	7335	17871
291	7353	17830
292	7370	17784
293	7385	17735
294	7402	17691
295	7423	17655
296	7442	17615
297	7462	17578
298	7481	17540
299	7509	17521
300	7543	17518
301	7573	17503
302	7606	17497
303	7642	17497
304	7670	17479
305	7695	17452
306	7719	17425
307	7744	17400
308	7780	17399
309	7815	17396
310	7843	17376
311	7868	17350
312	7891	17321
313	7916	17294
314	7947	17283
315	7995	17307
316	8037	17317
317	8068	17304
318	8093	17277
319	8109	17233
320	8128	17193
321	8155	17172
322	8178	17141
323	8225	17160
324	8245	17124
325	8265	17087
326	8285	17051
327	8306	17017
328	8326	16982
329	8350	16955
330	8385	16948
331	8421	16943
332	8449	16924
333	8481	16912
334	8522	16917
335	8551	16899
336	8581	16882
337	8599	16843
338	8620	16808
339	8638	16768
340	8654	16726
341	8674	16688
342	8694	16654
343	8712	16615
344	8730	16575
345	8771	16578
346	8796	16554
347	8826	16537
348	8844	16497
349	8864	16463
350	8890	16438
351	8910	16403
352	8928	16365
353	8954	16340
354	8986	16328
355	9023	16322
356	9046	16293
357	9063	16253
358	9091	16233
359	9117	16209
360	9136	16173
